"","estacao_cetesb","poluente","data","concentracao"
"1","Pinheiros","CO",2017-01-01,0.48
"2","Pinheiros","CO",2017-01-02,0.9
"3","Pinheiros","CO",2017-01-03,0.595833333333333
"4","Pinheiros","CO",2017-01-04,0.4125
"5","Pinheiros","CO",2017-01-05,0.4125
"6","Pinheiros","CO",2017-01-06,0.395833333333333
"7","Pinheiros","CO",2017-01-07,0.445833333333333
"8","Pinheiros","CO",2017-01-08,0.294117647058824
"9","Pinheiros","CO",2017-01-09,1.78
"10","Pinheiros","CO",2017-01-10,0.658333333333333
"11","Pinheiros","CO",2017-01-11,0.4125
"12","Pinheiros","CO",2017-01-12,0.283333333333333
"13","Pinheiros","CO",2017-01-13,0.254166666666667
"14","Pinheiros","CO",2017-01-14,0.275
"15","Pinheiros","CO",2017-01-15,0.316666666666667
"16","Pinheiros","CO",2017-01-16,0.416666666666667
"17","Pinheiros","CO",2017-01-17,0.429166666666667
"18","Pinheiros","CO",2017-01-18,0.6625
"19","Pinheiros","CO",2017-01-19,0.5375
"20","Pinheiros","CO",2017-01-20,0.683333333333333
"21","Pinheiros","CO",2017-01-21,0.508333333333333
"22","Pinheiros","CO",2017-01-22,0.4875
"23","Pinheiros","CO",2017-01-23,0.6375
"24","Pinheiros","CO",2017-01-24,0.5625
"25","Pinheiros","CO",2017-01-25,0.304166666666667
"26","Pinheiros","CO",2017-01-26,0.578260869565217
"27","Pinheiros","CO",2017-01-27,0.583333333333333
"28","Pinheiros","CO",2017-01-28,0.270833333333333
"29","Pinheiros","CO",2017-01-29,0.208333333333333
"30","Pinheiros","CO",2017-01-30,0.304166666666667
"31","Pinheiros","CO",2017-01-31,0.316666666666667
"32","Pinheiros","CO",2017-02-01,0.641666666666667
"33","Pinheiros","CO",2017-02-02,0.6375
"34","Pinheiros","CO",2017-02-03,0.570833333333333
"35","Pinheiros","CO",2017-02-04,0.570833333333333
"36","Pinheiros","CO",2017-02-05,0.504166666666667
"37","Pinheiros","CO",2017-02-06,0.5
"38","Pinheiros","CO",2017-02-07,0.454166666666667
"39","Pinheiros","CO",2017-02-08,0.208333333333333
"40","Pinheiros","CO",2017-02-09,0.191666666666667
"41","Pinheiros","CO",2017-02-10,0.270833333333333
"42","Pinheiros","CO",2017-02-11,0.2875
"43","Pinheiros","CO",2017-02-12,0.325
"44","Pinheiros","CO",2017-02-13,0.383333333333333
"45","Pinheiros","CO",2017-02-14,0.350087036677296
"46","Pinheiros","CO",2017-02-15,0.4
"47","Pinheiros","CO",2017-02-16,0.5125
"48","Pinheiros","CO",2017-02-17,0.55
"49","Pinheiros","CO",2017-02-18,0.704166666666667
"50","Pinheiros","CO",2017-02-19,0.579166666666667
"51","Pinheiros","CO",2017-02-20,0.345833333333333
"52","Pinheiros","CO",2017-02-21,0.428813658627541
"53","Pinheiros","CO",2017-02-22,0.43318771439562
"54","Pinheiros","CO",2017-02-23,0.268084670490506
"55","Pinheiros","CO",2017-02-24,0.40089643071936
"56","Pinheiros","CO",2017-02-25,0.41276653250251
"57","Pinheiros","CO",2017-02-26,0.604890037159019
"58","Pinheiros","CO",2017-02-27,0.54841442183681
"59","Pinheiros","CO",2017-02-28,0.58818730439593
"60","Pinheiros","CO",2017-03-01,0.584627352025664
"61","Pinheiros","CO",2017-03-02,0.728444865662276
"62","Pinheiros","CO",2017-03-03,0.725
"63","Pinheiros","CO",2017-03-04,0.475
"64","Pinheiros","CO",2017-03-05,0.291666666666667
"65","Pinheiros","CO",2017-03-06,0.904166666666667
"66","Pinheiros","CO",2017-03-07,0.780952380952381
"67","Pinheiros","CO",2017-03-08,0.560869565217391
"68","Pinheiros","CO",2017-03-09,0.520833333333333
"69","Pinheiros","CO",2017-03-10,0.779166666666667
"70","Pinheiros","CO",2017-03-11,0.433333333333333
"71","Pinheiros","CO",2017-03-12,0.352173913043478
"72","Pinheiros","CO",2017-03-13,0.2625
"73","Pinheiros","CO",2017-03-14,0.2625
"74","Pinheiros","CO",2017-03-15,0.391666666666667
"75","Pinheiros","CO",2017-03-16,0.733333333333333
"76","Pinheiros","CO",2017-03-17,0.7
"77","Pinheiros","CO",2017-03-18,0.191666666666667
"78","Pinheiros","CO",2017-03-19,0.15
"79","Pinheiros","CO",2017-03-20,0.170833333333333
"80","Pinheiros","CO",2017-03-21,0.208333333333333
"81","Pinheiros","CO",2017-03-22,0.220833333333333
"82","Pinheiros","CO",2017-03-23,0.295833333333333
"83","Pinheiros","CO",2017-03-24,0.483333333333333
"84","Pinheiros","CO",2017-03-25,0.4875
"85","Pinheiros","CO",2017-03-26,0.245833333333333
"86","Pinheiros","CO",2017-03-27,0.2625
"87","Pinheiros","CO",2017-03-28,0.1875
"88","Pinheiros","CO",2017-03-29,0.1875
"89","Pinheiros","CO",2017-03-30,0.195833333333333
"90","Pinheiros","CO",2017-03-31,0.195833333333333
"91","Pinheiros","CO",2017-04-01,0.158333333333333
"92","Pinheiros","CO",2017-04-02,0.183333333333333
"93","Pinheiros","CO",2017-04-03,0.3125
"94","Pinheiros","CO",2017-04-04,0.454166666666667
"95","Pinheiros","CO",2017-04-05,0.808333333333333
"96","Pinheiros","CO",2017-04-06,0.775
"97","Pinheiros","CO",2017-04-07,0.430434782608696
"98","Pinheiros","CO",2017-04-08,0.295833333333333
"99","Pinheiros","CO",2017-04-09,0.195833333333333
"100","Pinheiros","CO",2017-04-10,0.379166666666667
"101","Pinheiros","CO",2017-04-11,0.491666666666667
"102","Pinheiros","CO",2017-04-12,0.208333333333333
"103","Pinheiros","CO",2017-04-13,0.1875
"104","Pinheiros","CO",2017-04-14,0.216666666666667
"105","Pinheiros","CO",2017-04-15,0.329166666666667
"106","Pinheiros","CO",2017-04-16,0.391666666666667
"107","Pinheiros","CO",2017-04-17,0.241666666666667
"108","Pinheiros","CO",2017-04-18,0.179166666666667
"109","Pinheiros","CO",2017-04-19,0.245833333333333
"110","Pinheiros","CO",2017-04-20,0.479166666666667
"111","Pinheiros","CO",2017-04-21,0.356521739130435
"112","Pinheiros","CO",2017-04-22,0.225
"113","Pinheiros","CO",2017-04-23,0.138461538461538
"114","Pinheiros","CO",2017-04-24,0.325
"115","Pinheiros","CO",2017-04-25,0.504166666666667
"116","Pinheiros","CO",2017-04-26,0.595833333333333
"117","Pinheiros","CO",2017-04-27,0.30952380952381
"118","Pinheiros","CO",2017-04-28,0.1875
"119","Pinheiros","CO",2017-04-29,0.170833333333333
"120","Pinheiros","CO",2017-04-30,0.166666666666667
"121","Pinheiros","CO",2017-05-01,0.191666666666667
"122","Pinheiros","CO",2017-05-02,0.5
"123","Pinheiros","CO",2017-05-03,0.570833333333333
"124","Pinheiros","CO",2017-05-04,0.8125
"125","Pinheiros","CO",2017-05-05,0.925
"126","Pinheiros","CO",2017-05-06,0.416666666666667
"127","Pinheiros","CO",2017-05-07,0.19
"128","Pinheiros","CO",2017-05-08,0.525
"129","Pinheiros","CO",2017-05-09,0.925
"130","Pinheiros","CO",2017-05-10,0.291666666666667
"131","Pinheiros","CO",2017-05-11,0.409090909090909
"132","Pinheiros","CO",2017-05-12,0.558333333333333
"133","Pinheiros","CO",2017-05-13,0.729166666666667
"134","Pinheiros","CO",2017-05-14,0.304166666666667
"135","Pinheiros","CO",2017-05-15,0.3
"136","Pinheiros","CO",2017-05-16,0.225
"137","Pinheiros","CO",2017-05-17,0.2625
"138","Pinheiros","CO",2017-05-18,0.395833333333333
"139","Pinheiros","CO",2017-05-19,0.795833333333333
"140","Pinheiros","CO",2017-05-20,0.566666666666667
"141","Pinheiros","CO",2017-05-21,0.627777777777778
"142","Pinheiros","CO",2017-05-22,0.354166666666667
"143","Pinheiros","CO",2017-05-23,0.295833333333333
"144","Pinheiros","CO",2017-05-24,1.12083333333333
"145","Pinheiros","CO",2017-05-25,1.7125
"146","Pinheiros","CO",2017-05-26,1.8125
"147","Pinheiros","CO",2017-05-27,1.0875
"148","Pinheiros","CO",2017-05-28,0.55
"149","Pinheiros","CO",2017-05-29,1.15909090909091
"150","Pinheiros","CO",2017-05-30,0.6375
"151","Pinheiros","CO",2017-05-31,0.841666666666667
"152","Pinheiros","CO",2017-06-01,0.5375
"153","Pinheiros","CO",2017-06-02,0.4
"154","Pinheiros","CO",2017-06-03,0.391666666666667
"155","Pinheiros","CO",2017-06-04,0.729166666666667
"156","Pinheiros","CO",2017-06-05,0.933333333333333
"157","Pinheiros","CO",2017-06-06,1.3
"158","Pinheiros","CO",2017-06-07,1.3375
"159","Pinheiros","CO",2017-06-08,0.95
"160","Pinheiros","CO",2017-06-09,0.55
"161","Pinheiros","CO",2017-06-10,0.55
"162","Pinheiros","CO",2017-06-11,0.945833333333333
"163","Pinheiros","CO",2017-06-12,1.5875
"164","Pinheiros","CO",2017-06-13,1.58260869565217
"165","Pinheiros","CO",2017-06-14,0.579166666666667
"166","Pinheiros","CO",2017-06-15,0.258333333333333
"167","Pinheiros","CO",2017-06-16,0.870833333333333
"168","Pinheiros","CO",2017-06-17,1.85833333333333
"169","Pinheiros","CO",2017-06-18,1.26666666666667
"170","Pinheiros","CO",2017-06-19,0.979166666666667
"171","Pinheiros","CO",2017-06-20,0.208333333333333
"172","Pinheiros","CO",2017-06-21,0.233333333333333
"173","Pinheiros","CO",2017-06-22,0.420833333333333
"174","Pinheiros","CO",2017-06-23,0.22
"175","Pinheiros","CO",2017-06-24,0.127280865635402
"176","Pinheiros","CO",2017-06-25,0.039331886321625
"177","Pinheiros","CO",2017-06-26,-0.0191969731804383
"178","Pinheiros","CO",2017-06-27,-0.311144794341452
"179","Pinheiros","CO",2017-06-28,-0.378429522494521
"180","Pinheiros","CO",2017-06-29,0.075
"181","Pinheiros","CO",2017-06-30,0.583333333333333
"182","Pinheiros","CO",2017-07-01,0.495833333333333
"183","Pinheiros","CO",2017-07-02,0.1375
"184","Pinheiros","CO",2017-07-03,0.204166666666667
"185","Pinheiros","CO",2017-07-04,0.316666666666667
"186","Pinheiros","CO",2017-07-05,0.5
"187","Pinheiros","CO",2017-07-06,0.529166666666667
"188","Pinheiros","CO",2017-07-07,0.417391304347826
"189","Pinheiros","CO",2017-07-08,0.379166666666667
"190","Pinheiros","CO",2017-07-09,0.441666666666667
"191","Pinheiros","CO",2017-07-10,0.825
"192","Pinheiros","CO",2017-07-11,1.40416666666667
"193","Pinheiros","CO",2017-07-12,0.804166666666667
"194","Pinheiros","CO",2017-07-13,0.466666666666667
"195","Pinheiros","CO",2017-07-14,1.03333333333333
"196","Pinheiros","CO",2017-07-15,1.125
"197","Pinheiros","CO",2017-07-16,0.6
"198","Pinheiros","CO",2017-07-17,0.670833333333333
"199","Pinheiros","CO",2017-07-18,0.1875
"200","Pinheiros","CO",2017-07-19,0.354166666666667
"201","Pinheiros","CO",2017-07-20,0.504166666666667
"202","Pinheiros","CO",2017-07-21,1.40833333333333
"203","Pinheiros","CO",2017-07-22,0.854166666666667
"204","Pinheiros","CO",2017-07-23,0.366666666666667
"205","Pinheiros","CO",2017-07-24,1.07916666666667
"206","Pinheiros","CO",2017-07-25,1.0625
"207","Pinheiros","CO",2017-07-26,1.07083333333333
"208","Pinheiros","CO",2017-07-27,0.566666666666667
"209","Pinheiros","CO",2017-07-28,0.476190476190476
"210","Pinheiros","CO",2017-07-29,0.416666666666667
"211","Pinheiros","CO",2017-07-30,0.383333333333333
"212","Pinheiros","CO",2017-07-31,0.854166666666667
"213","Pinheiros","CO",2017-08-01,1.12916666666667
"214","Pinheiros","CO",2017-08-02,1.10833333333333
"215","Pinheiros","CO",2017-08-03,0.683333333333333
"216","Pinheiros","CO",2017-08-04,0.3
"217","Pinheiros","CO",2017-08-05,0.183333333333333
"218","Pinheiros","CO",2017-08-06,0.191666666666667
"219","Pinheiros","CO",2017-08-07,0.9875
"220","Pinheiros","CO",2017-08-08,1.30416666666667
"221","Pinheiros","CO",2017-08-09,1.53333333333333
"222","Pinheiros","CO",2017-08-10,0.254166666666667
"223","Pinheiros","CO",2017-08-11,0.231818181818182
"224","Pinheiros","CO",2017-08-12,0.4375
"225","Pinheiros","CO",2017-08-13,0.9
"226","Pinheiros","CO",2017-08-14,0.441666666666667
"227","Pinheiros","CO",2017-08-15,0.476190476190476
"228","Pinheiros","CO",2017-08-16,0.67
"229","Pinheiros","CO",2017-08-17,0.433333333333333
"230","Pinheiros","CO",2017-08-18,0.954166666666667
"231","Pinheiros","CO",2017-08-19,0.8375
"232","Pinheiros","CO",2017-08-20,0.516666666666667
"233","Pinheiros","CO",2017-08-21,0.1875
"234","Pinheiros","CO",2017-08-22,0.295833333333333
"235","Pinheiros","CO",2017-08-23,0.847826086956522
"236","Pinheiros","CO",2017-08-24,0.373913043478261
"237","Pinheiros","CO",2017-08-25,0.470833333333333
"238","Pinheiros","CO",2017-08-26,0.7
"239","Pinheiros","CO",2017-08-27,0.675
"240","Pinheiros","CO",2017-08-28,0.629166666666667
"241","Pinheiros","CO",2017-08-29,0.829166666666667
"242","Pinheiros","CO",2017-08-30,1.5625
"243","Pinheiros","CO",2017-08-31,0.25
"244","Pinheiros","CO",2017-09-01,0.25
"245","Pinheiros","CO",2017-09-02,0.2625
"246","Pinheiros","CO",2017-09-03,0.416666666666667
"247","Pinheiros","CO",2017-09-04,0.7375
"248","Pinheiros","CO",2017-09-05,1.3375
"249","Pinheiros","CO",2017-09-06,0.5125
"250","Pinheiros","CO",2017-09-07,0.445833333333333
"251","Pinheiros","CO",2017-09-08,0.745833333333333
"252","Pinheiros","CO",2017-09-09,0.716666666666667
"253","Pinheiros","CO",2017-09-10,0.5125
"254","Pinheiros","CO",2017-09-11,0.821739130434783
"255","Pinheiros","CO",2017-09-12,0.491666666666667
"256","Pinheiros","CO",2017-09-13,0.825
"257","Pinheiros","CO",2017-09-14,1.39166666666667
"258","Pinheiros","CO",2017-09-15,1.35833333333333
"259","Pinheiros","CO",2017-09-16,0.4
"260","Pinheiros","CO",2017-09-17,0.5375
"261","Pinheiros","CO",2017-09-18,0.391666666666667
"262","Pinheiros","CO",2017-09-19,0.4375
"263","Pinheiros","CO",2017-09-20,0.45
"264","Pinheiros","CO",2017-09-21,0.754166666666667
"265","Pinheiros","CO",2017-09-22,0.866666666666667
"266","Pinheiros","CO",2017-09-23,0.683333333333333
"267","Pinheiros","CO",2017-09-24,0.2
"268","Pinheiros","CO",2017-09-25,0.2625
"269","Pinheiros","CO",2017-09-26,0.404166666666667
"270","Pinheiros","CO",2017-09-27,0.779166666666667
"271","Pinheiros","CO",2017-09-28,0.7125
"272","Pinheiros","CO",2017-09-29,0.2875
"273","Pinheiros","CO",2017-09-30,0.529166666666667
"274","Pinheiros","CO",2017-10-01,0.4625
"275","Pinheiros","CO",2017-10-02,0.729166666666667
"276","Pinheiros","CO",2017-10-03,0.491666666666667
"277","Pinheiros","CO",2017-10-04,0.370833333333333
"278","Pinheiros","CO",2017-10-05,0.7
"279","Pinheiros","CO",2017-10-06,0.7375
"280","Pinheiros","CO",2017-10-07,0.411111111111111
"281","Pinheiros","CO",2017-10-08,1.42857142857143
"282","Pinheiros","CO",2017-10-09,1.06666666666667
"283","Pinheiros","CO",2017-10-10,0.733333333333333
"284","Pinheiros","CO",2017-10-11,0.766666666666667
"285","Pinheiros","CO",2017-10-12,0.320833333333333
"286","Pinheiros","CO",2017-10-13,0.466666666666667
"287","Pinheiros","CO",2017-10-14,0.3125
"288","Pinheiros","CO",2017-10-15,0.1
"289","Pinheiros","CO",2017-10-16,0.183333333333333
"290","Pinheiros","CO",2017-10-17,0.283333333333333
"291","Pinheiros","CO",2017-10-18,0.583333333333333
"292","Pinheiros","CO",2017-10-19,0.583333333333333
"293","Pinheiros","CO",2017-10-20,0.333333333333333
"294","Pinheiros","CO",2017-10-21,0.820833333333333
"295","Pinheiros","CO",2017-10-22,0.554166666666667
"296","Pinheiros","CO",2017-10-23,0.229166666666667
"297","Pinheiros","CO",2017-10-24,0.25
"298","Pinheiros","CO",2017-10-25,0.383333333333333
"299","Pinheiros","CO",2017-10-26,0.6625
"300","Pinheiros","CO",2017-10-27,0.854166666666667
"301","Pinheiros","CO",2017-10-28,0.454166666666667
"302","Pinheiros","CO",2017-10-29,0.5375
"303","Pinheiros","CO",2017-10-30,0.691666666666667
"304","Pinheiros","CO",2017-10-31,0.3375
"305","Pinheiros","CO",2017-11-01,0.1875
"306","Pinheiros","CO",2017-11-02,0.1625
"307","Pinheiros","CO",2017-11-03,0.379166666666667
"308","Pinheiros","CO",2017-11-04,0.320833333333333
"309","Pinheiros","CO",2017-11-05,0.216666666666667
"310","Pinheiros","CO",2017-11-06,0.220833333333333
"311","Pinheiros","CO",2017-11-07,0.2
"312","Pinheiros","CO",2017-11-08,0.3125
"313","Pinheiros","CO",2017-11-09,0.4875
"314","Pinheiros","CO",2017-11-10,0.2875
"315","Pinheiros","CO",2017-11-11,0.253945203295171
"316","Pinheiros","CO",2017-11-12,0.182416423395999
"317","Pinheiros","CO",2017-11-13,0.260232422757539
"318","Pinheiros","CO",2017-11-14,0.388888888888889
"319","Pinheiros","CO",2017-11-15,0.383333333333333
"320","Pinheiros","CO",2017-11-16,0.660869565217391
"321","Pinheiros","CO",2017-11-17,0.5875
"322","Pinheiros","CO",2017-11-18,0.366666666666667
"323","Pinheiros","CO",2017-11-19,0.229166666666667
"324","Pinheiros","CO",2017-11-20,0.191666666666667
"325","Pinheiros","CO",2017-11-21,0.579166666666667
"326","Pinheiros","CO",2017-11-22,0.408333333333333
"327","Pinheiros","CO",2017-11-23,0.558823529411765
"328","Pinheiros","CO",2017-11-24,0.616666666666667
"329","Pinheiros","CO",2017-11-25,0.783333333333333
"330","Pinheiros","CO",2017-11-26,1.05
"331","Pinheiros","CO",2017-11-27,0.675
"332","Pinheiros","CO",2017-11-28,0.195833333333333
"333","Pinheiros","CO",2017-11-29,0.183333333333333
"334","Pinheiros","CO",2017-11-30,0.270833333333333
"335","Pinheiros","CO",2017-12-01,0.241666666666667
"336","Pinheiros","CO",2017-12-02,0.179166666666667
"337","Pinheiros","CO",2017-12-03,0.179166666666667
"338","Pinheiros","CO",2017-12-04,0.329166666666667
"339","Pinheiros","CO",2017-12-05,0.245833333333333
"340","Pinheiros","CO",2017-12-06,0.279166666666667
"341","Pinheiros","CO",2017-12-07,0.516666666666667
"342","Pinheiros","CO",2017-12-08,0.525
"343","Pinheiros","CO",2017-12-09,0.2375
"344","Pinheiros","CO",2017-12-10,0.479166666666667
"345","Pinheiros","CO",2017-12-11,0.545454545454545
"346","Pinheiros","CO",2017-12-12,0.179166666666667
"347","Pinheiros","CO",2017-12-13,0.270833333333333
"348","Pinheiros","CO",2017-12-14,0.420833333333333
"349","Pinheiros","CO",2017-12-15,0.783333333333333
"350","Pinheiros","CO",2017-12-16,0.925
"351","Pinheiros","CO",2017-12-17,0.9
"352","Pinheiros","CO",2017-12-18,0.330434782608696
"353","Pinheiros","CO",2017-12-19,0.283333333333333
"354","Pinheiros","CO",2017-12-20,0.429166666666667
"355","Pinheiros","CO",2017-12-21,0.758333333333333
"356","Pinheiros","CO",2017-12-22,0.5875
"357","Pinheiros","CO",2017-12-23,0.333333333333333
"358","Pinheiros","CO",2017-12-24,0.275
"359","Pinheiros","CO",2017-12-25,0.320833333333333
"360","Pinheiros","CO",2017-12-26,0.254166666666667
"361","Pinheiros","CO",2017-12-27,0.291666666666667
"362","Pinheiros","CO",2017-12-28,0.308333333333333
"363","Pinheiros","CO",2017-12-29,0.420833333333333
"364","Pinheiros","CO",2017-12-30,0.216666666666667
"365","Pinheiros","CO",2017-12-31,0.179166666666667
"366","Pinheiros","CO",2018-01-01,0.208333333333333
"367","Pinheiros","CO",2018-01-02,0.325
"368","Pinheiros","CO",2018-01-03,0.270833333333333
"369","Pinheiros","CO",2018-01-04,0.175
"370","Pinheiros","CO",2018-01-05,0.270833333333333
"371","Pinheiros","CO",2018-01-06,0.3375
"372","Pinheiros","CO",2018-01-07,0.2125
"373","Pinheiros","CO",2018-01-08,0.3625
"374","Pinheiros","CO",2018-01-09,0.454166666666667
"375","Pinheiros","CO",2018-01-10,0.3625
"376","Pinheiros","CO",2018-01-11,0.3875
"377","Pinheiros","CO",2018-01-12,0.441666666666667
"378","Pinheiros","CO",2018-01-13,0.391666666666667
"379","Pinheiros","CO",2018-01-14,0.339130434782609
"380","Pinheiros","CO",2018-01-15,0.379166666666667
"381","Pinheiros","CO",2018-01-16,0.458333333333333
"382","Pinheiros","CO",2018-01-17,0.654166666666667
"383","Pinheiros","CO",2018-01-18,0.677272727272727
"384","Pinheiros","CO",2018-01-19,0.452173913043478
"385","Pinheiros","CO",2018-01-20,0.454166666666667
"386","Pinheiros","CO",2018-01-21,0.547826086956522
"387","Pinheiros","CO",2018-01-22,0.566666666666667
"388","Pinheiros","CO",2018-01-23,0.558333333333333
"389","Pinheiros","CO",2018-01-24,0.666666666666667
"390","Pinheiros","CO",2018-01-25,0.3
"391","Pinheiros","CO",2018-01-26,0.191666666666667
"392","Pinheiros","CO",2018-01-27,0.1625
"393","Pinheiros","CO",2018-01-28,0.218181818181818
"394","Pinheiros","CO",2018-01-29,0.5625
"395","Pinheiros","CO",2018-01-30,0.291666666666667
"396","Pinheiros","CO",2018-01-31,0.2375
"397","Pinheiros","CO",2018-02-01,0.183333333333333
"398","Pinheiros","CO",2018-02-02,0.2375
"399","Pinheiros","CO",2018-02-03,0.175
"400","Pinheiros","CO",2018-02-04,0.133333333333333
"401","Pinheiros","CO",2018-02-05,0.191666666666667
"402","Pinheiros","CO",2018-02-06,0.258333333333333
"403","Pinheiros","CO",2018-02-07,0.375
"404","Pinheiros","CO",2018-02-08,0.725
"405","Pinheiros","CO",2018-02-09,0.4875
"406","Pinheiros","CO",2018-02-10,0.679166666666667
"407","Pinheiros","CO",2018-02-11,0.454166666666667
"408","Pinheiros","CO",2018-02-12,0.304166666666667
"409","Pinheiros","CO",2018-02-13,0.108333333333333
"410","Pinheiros","CO",2018-02-14,0.1875
"411","Pinheiros","CO",2018-02-15,0.220833333333333
"412","Pinheiros","CO",2018-02-16,0.225
"413","Pinheiros","CO",2018-02-17,0.204166666666667
"414","Pinheiros","CO",2018-02-18,0.358333333333333
"415","Pinheiros","CO",2018-02-19,0.583333333333333
"416","Pinheiros","CO",2018-02-20,0.508333333333333
"417","Pinheiros","CO",2018-02-21,0.425
"418","Pinheiros","CO",2018-02-22,0.525
"419","Pinheiros","CO",2018-02-23,0.195833333333333
"420","Pinheiros","CO",2018-02-24,0.1875
